time,project,user,type,url,title,body,assigned,branch,branch_link,merge,add,del,hash
2016-04-20 17:32:54 -0300,logisim,Nicolas Caracci,commit,url/8686362b19178c691c82ac1b8f7e78952690de2a,,Resistencia bidireccional     hay que resetear la simulacion para que funcione.,,logisim/branch,fake_url,,,,8686362b19178c691c82ac1b8f7e78952690de2a
2016-04-20 17:03:31 -0300,logisim,Nicolas Caracci,commit,url/8a47014d8ccd6097bed3e1a11dbe22605f1d27f1,,Merge branch 'resistencia_voltage' of https://github.com/IsmaelAlvarez/logisim into resistencia_voltage,,logisim/branch,fake_url,,,,8a47014d8ccd6097bed3e1a11dbe22605f1d27f1
2016-04-20 16:23:26 -0300,logisim,Nicolas Caracci,commit,url/fd9c31e003353e2a3a1fcf1e91a82a8912622db7,,Agregar resistencia a state,,logisim/branch,fake_url,,,,fd9c31e003353e2a3a1fcf1e91a82a8912622db7
2016-04-19 19:56:32 -0300,logisim,Vicente Rotman,commit,url/bc64a6c208e7a69df971d05ee59ed17ac22f20ea,,Fix integration conflicts,,logisim/branch,fake_url,,,,bc64a6c208e7a69df971d05ee59ed17ac22f20ea
2016-04-19 13:22:12 -0300,logisim,Vicente Rotman,commit,url/228e5a5ce9040b59dc3308e6324f46ef0f100747,,Se cambiaron los atributos del factory a la instance y se calcula resistencia total en serie,,logisim/branch,fake_url,,,,228e5a5ce9040b59dc3308e6324f46ef0f100747
2016-04-14 13:07:08 -0300,logisim,Sergio,commit,url/630f5c4d475f314e3b4cc599350d6131362f1a77,,Minor bug fixes,,logisim/branch,fake_url,,,,630f5c4d475f314e3b4cc599350d6131362f1a77
2016-04-14 12:51:51 -0300,logisim,Nicolas Caracci,commit,url/0664ac361841fe954ffd48a64f70f738eb8b9d39,,Cambiar valores de voltaje y corriente a double     reducir la corriente constante,,logisim/branch,fake_url,,,,0664ac361841fe954ffd48a64f70f738eb8b9d39
2016-04-14 12:16:47 -0300,logisim,Nicolas Caracci,commit,url/3d6956ad0258b55e96cbf09a17f0323941077a79,,Resistencia envia voltaje de salida y avisa si se quema,,logisim/branch,fake_url,,,,3d6956ad0258b55e96cbf09a17f0323941077a79
2016-04-13 23:16:00 -0300,logisim,Sergio,commit,url/5d41e1e03092c204bf172976bb4c677d17b2c93d,,Added state and menu items for analog simulation,,logisim/branch,fake_url,,,,5d41e1e03092c204bf172976bb4c677d17b2c93d
2016-04-13 08:51:07 -0300,logisim,Nicolas Caracci,commit,url/8f654c9bb3ada7e95027b1ade0137fb42d556f23,,Merge branch 'voltage' of https://github.com/IsmaelAlvarez/logisim into resistencia_voltage,,logisim/branch,fake_url,,,,8f654c9bb3ada7e95027b1ade0137fb42d556f23
2016-04-13 08:45:06 -0300,logisim,Nicolas Caracci,commit,url/46fe589d056fae952f51ab2bc3d7e79479f1cfb9,,Resistor ends voltage,,logisim/branch,fake_url,,,,46fe589d056fae952f51ab2bc3d7e79479f1cfb9
2016-04-12 13:21:37 -0300,logisim,Vicente Rotman,commit,url/b2f1eb92a3372dea48c6720ff9464e5b41ab76d3,,Change voltage data to value,,logisim/branch,fake_url,,,,b2f1eb92a3372dea48c6720ff9464e5b41ab76d3
2016-04-12 13:12:08 -0300,logisim,Vicente Rotman,commit,url/e1b056dcd6c686fc0d3b38a2885b70da0d23a24e,,Add Resitance and Resistance multiplier values,,logisim/branch,fake_url,,,,e1b056dcd6c686fc0d3b38a2885b70da0d23a24e
2016-04-12 12:35:57 -0300,logisim,Vicente Rotman,commit,url/0f5a9ec948b0e15ded08e3870d3ea00017de151f,,Set voltage range between 4V - 20V,,logisim/branch,fake_url,,,,0f5a9ec948b0e15ded08e3870d3ea00017de151f
2016-04-12 12:18:35 -0300,logisim,Vicente Rotman,commit,url/81bb3ab8f6712ebf28391c43557d428ac89d3dc0,,Add voltage to value,,logisim/branch,fake_url,,,,81bb3ab8f6712ebf28391c43557d428ac89d3dc0
2016-04-07 13:11:14 -0300,logisim,Nicolas Caracci,commit,url/f8291b1448a17cfca9d2aec64a5f519be0cf4598,,Resitencia entrega lo mismo que recibe,,logisim/branch,fake_url,,,,f8291b1448a17cfca9d2aec64a5f519be0cf4598
